### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217; Rice et al. 2010, ApJS, 186, 63
### Please cite the above references if you use  
### or display this data in your publication.
### GL 577BC -- NIRSPEC-3 Filter, dispersion order 59
### lambda (microns)   Flambda (Normalized)
       1.2866314      0.93028851
       1.2866498      0.94093240
       1.2866683      0.95231170
       1.2866868      0.96231609
       1.2867053      0.96037814
       1.2867237      0.96757334
       1.2867422      0.96705743
       1.2867607      0.96314439
       1.2867792      0.95906010
       1.2867977      0.95899218
       1.2868161      0.96257344
       1.2868346      0.96675885
       1.2868531      0.96682222
       1.2868716      0.96496155
       1.2868900      0.96054559
       1.2869085      0.96996949
       1.2869270      0.96802770
       1.2869455      0.96059280
       1.2869640      0.96833404
       1.2869824      0.96395382
       1.2870009      0.96577863
       1.2870194      0.97342845
       1.2870379      0.96601256
       1.2870563      0.96743196
       1.2870748      0.97989126
       1.2870933      0.97830582
       1.2871118      0.99246230
       1.2871303      0.98304844
       1.2871487      0.98593009
       1.2871671      0.98320177
       1.2871856      0.97860700
       1.2872041      0.97864668
       1.2872225      0.97543898
       1.2872410      0.97681486
       1.2872595      0.98181289
       1.2872780      0.98797606
       1.2872965      0.98918994
       1.2873149      0.98634913
       1.2873334      0.98600448
       1.2873519      0.98955070
       1.2873704       1.0014266
       1.2873888       1.0043400
       1.2874073       1.0171966
       1.2874258       1.0057591
       1.2874443       1.0047440
       1.2874629       1.0062978
       1.2874813       1.0049267
       1.2874998       1.0065623
       1.2875183       1.0031777
       1.2875368      0.99293137
       1.2875553      0.99481749
       1.2875737      0.98492919
       1.2875922      0.98790960
       1.2876107      0.97624715
       1.2876292      0.97921787
       1.2876476      0.97080890
       1.2876661      0.97145161
       1.2876846      0.96013455
       1.2877031      0.96214718
       1.2877216      0.96067037
       1.2877400      0.95081910
       1.2877585      0.94340712
       1.2877770      0.94465843
       1.2877955      0.94647987
       1.2878139      0.94639886
       1.2878324      0.94588367
       1.2878509      0.94499732
       1.2878694      0.95144927
       1.2878878      0.95580447
       1.2879063      0.96383751
       1.2879248      0.97100974
       1.2879433      0.96251991
       1.2879618      0.96262404
