### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     Wolf 359 -- NIRSPEC-3 Filter, dispersion order 58
### lambda (microns)   Flambda (Normalized)
       1.3089056      0.96205246
       1.3089244      0.96343121
       1.3089434      0.96883403
       1.3089622      0.96302460
       1.3089810      0.96449682
       1.3089999      0.95359303
       1.3090187      0.94291826
       1.3090376      0.93290808
       1.3090564      0.93468223
       1.3090753      0.94177787
       1.3090942      0.95851913
       1.3091130      0.97321798
       1.3091320      0.96685237
       1.3091508      0.96477257
       1.3091696      0.95878553
       1.3091885      0.96407618
       1.3092074      0.95845370
       1.3092263      0.94280141
       1.3092451      0.92464354
       1.3092640      0.90989375
       1.3092829      0.91034851
       1.3093017      0.92374526
       1.3093206      0.94149744
       1.3093395      0.95830414
       1.3093583      0.97035299
       1.3093772      0.97301701
       1.3093961      0.97367600
       1.3094150      0.97390502
       1.3094338      0.95936507
       1.3094528      0.95380335
       1.3094716      0.95401834
       1.3094904      0.95873412
       1.3095093      0.96526759
       1.3095282      0.97415896
       1.3095471      0.98305032
       1.3095659      0.99194168
       1.3095848       1.0008330
       1.3096037      0.99973666
       1.3096225      0.97855069
       1.3096413      0.96392195
       1.3096603      0.94906887
       1.3096791      0.94645159
       1.3096980      0.93795944
       1.3097169      0.93235191
       1.3097358      0.92137007
       1.3097546      0.92047505
       1.3097734      0.91324481
       1.3097924      0.89737566
       1.3098112      0.87522130
       1.3098301      0.89247480
       1.3098490      0.89865112
       1.3098678      0.90482744
       1.3098867      0.91100376
       1.3099056      0.90687967
       1.3099245      0.89810056
       1.3099433      0.89176673
       1.3099621      0.89308566
       1.3099811      0.88386487
       1.3099999      0.87307466
       1.3100188      0.86749237
       1.3100377      0.87081585
       1.3100566      0.88439160
       1.3100754      0.89846931
       1.3100942      0.92219592
       1.3101132      0.94194612
       1.3101320      0.95527090
       1.3101508      0.96471648
       1.3101698      0.96201507
       1.3101886      0.96111305
       1.3102075      0.95779938
       1.3102264      0.94726014
       1.3102453      0.94245088
       1.3102641      0.92981221
       1.3102829      0.92049094
       1.3103019      0.91768484
       1.3103207      0.92023763
       1.3103395      0.92586385
       1.3103584      0.92213563
       1.3103772      0.90401702
       1.3103961      0.93440227
       1.3104149      0.97049320
       1.3104339      0.98498641
       1.3104527      0.97708782
       1.3104715      0.97771877
       1.3104905      0.97483041
       1.3105093      0.97579320
       1.3105282      0.97956022
       1.3105471      0.98380863
       1.3105660      0.98224293
       1.3105848      0.95782275
       1.3106036      0.93313382
       1.3106226      0.92469262
       1.3106414      0.91694593
       1.3106602      0.92311898
       1.3106792      0.92617512
       1.3106980      0.92140746
       1.3107169      0.89531081
       1.3107357      0.86093374
       1.3107547      0.84168783
       1.3107735      0.84027496
       1.3107923      0.86796955
       1.3108113      0.89448730
       1.3108301      0.91156180
       1.3108490      0.92134717
       1.3108678      0.92362935
       1.3108867      0.92597836
       1.3109056      0.92443042
       1.3109244      0.92882325
       1.3109434      0.93765565
       1.3109622      0.95021393
       1.3109810      0.95483624
       1.3110000      0.94402125
       1.3110188      0.94093660
       1.3110377      0.94136191
       1.3110565      0.93900635
       1.3110755      0.92343913
       1.3110943      0.89367127
       1.3111131      0.86604164
       1.3111321      0.86402213
       1.3111509      0.87255354
       1.3111697      0.89550244
       1.3111886      0.89762477
       1.3112075      0.89218456
       1.3112264      0.89271082
       1.3112452      0.89060017
       1.3112642      0.88554180
       1.3112830      0.88817077
       1.3113018      0.91223949
       1.3113208      0.93090867
       1.3113396      0.95264427
       1.3113585      0.95640661
       1.3113773      0.94604497
       1.3113962      0.92565494
       1.3114151      0.90064026
       1.3114339      0.88639149
       1.3114529      0.88567220
       1.3114717      0.90008782
       1.3114905      0.90309209
       1.3115094      0.89602496
       1.3115283      0.88578764
       1.3115472      0.87158982
       1.3115660      0.87371309
       1.3115850      0.88480429
       1.3116038      0.89786921
       1.3116226      0.90757559
       1.3116415      0.91809099
       1.3116603      0.92495715
       1.3116791      0.92646676
       1.3116980      0.93784727
       1.3117169      0.94240415
       1.3117358      0.96044470
       1.3117546      0.96584285
       1.3117736      0.97028756
       1.3117924      0.95383606
       1.3118112      0.94367072
       1.3118301      0.92694208
       1.3118490      0.92874099
